RA,CÓDIGO TURMA,TURMA
11066213,NAESTE017-17SA,Operação de Sistemas Elétricos de Potência A-Noturno (Santo André)
11066213,NAESZE106-17SA,Sistemas Fotovoltaicos Conectados à Rede Elétrica A-Noturno (Santo André)
11066213,NAESZE107-17SA,Sistemas Fotovoltaicos Isolados A-Noturno (Santo André)
11066213,NAESTE022-17SA,Transferência de Calor I A-Noturno (Santo André)
11036512,DB2BCN0402-15SB,Funções de Uma Variável B2-Matutino (São Bernardo)
11036512,DBBCN0404-15SB,Geometria Analítica B-Matutino (São Bernardo)
11036512,DABCN0405-15SB,Introdução às Equações Diferenciais Ordinárias A-Matutino (São Bernardo)
11036512,DANHI5015-15SB,LIBRAS A-Matutino (São Bernardo)
11036512,DAESTO006-17SB,Materiais e Suas Propriedades A-Matutino (São Bernardo)
21008315,DAESTA002-17SB,Circuitos Elétricos I A-Matutino (São Bernardo)
21008315,DAESTO902-17SB,Engenharia Unificada I A-Matutino (São Bernardo)
21008315,DAESTA010-17SA,Sensores e Transdutores A-Matutino (Santo André)
21008315,NA1ESTA003-17SB,Sistemas de Controle I A1-Noturno (São Bernardo)
11033711,DAESTM001-17SA,Estado Sólido A-Matutino (Santo André)
11033711,NCESTO017-17SA,Métodos Experimentais em Engenharia C-Noturno (Santo André)
11033711,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André)
11033711,NAESZM041-17SA,Processamento e Conformação de Metais II A-Noturno (Santo André)
11033711,NANHZ4035-15SA,Processos Industriais Orgânicos e Inorgânicos A-Noturno (Santo André)
11002915,NAESTM004-17SA,Ciência dos Materiais A-Noturno (Santo André)
11002915,NA2ESTM010-17SA,Propriedades Mecânicas e Térmicas A2-Noturno (Santo André)
21032816,DAESTU023-17SA,Biomas Brasileiros A-Matutino (Santo André)
21032816,DA8BCJ0204-15SA,Fenômenos Mecânicos A8-Matutino (Santo André)
21032816,DB2BCN0402-15SA,Funções de Uma Variável B2-Matutino (Santo André)
21032816,DA2BCN0404-15SA,Geometria Analítica A2-Matutino (Santo André)
21032816,DANHI5015-15SA,LIBRAS A-Matutino (Santo André)
21032816,DANHZ5014-15SA,Questões Atuais no Ensino de Ciências A-Matutino (Santo André)
11026011,DAESZG036-17SA,Conceitos de Marketing A-Matutino (Santo André)
11026011,DAESTG006-17SB,Engenharia Laboral A-Matutino (São Bernardo)
11026011,DAESTG009-17SB,Gestão de Operações A-Matutino (São Bernardo)
11026011,DA2ESTG017-17SB,Introdução aos Processos de Fabricação Metal ¿ Mecânico A2-Matutino (São Bernardo)
11026011,NAESTO006-17SA,Materiais e Suas Propriedades A-Noturno (Santo André)
11026011,NA1ESTG020-17SB,Sistemas e Processos de Produção A1-Noturno (São Bernardo)
11012316,DA1BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A1-Matutino (Santo André)
11012316,DA1BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-Matutino (Santo André)"
11012316,DANHT4002-13SA,Bioquímica Experimental A-Matutino (Santo André)
11012316,DA1BCK0103-15SA,Física Quântica A1-Matutino (Santo André)
